,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
3253,2110,12,36073-D,4室1卫,16/18层,大兴区,西红门,星光公寓,地铁：距4号线大兴线西红门站1450米
3254,2530,11,35019-B,3室1卫,11/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
3255,2680,11,38657-A,2室1卫,9/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
3256,3290,14,3921-B,4室1卫,21/25层,朝阳区,东湖渠,望京花园东区,地铁：距14号线东段东湖渠站700米
3257,3030,23,42665-A,2室1卫,4/4层,昌平区,龙泽,二拨子新村东区,地铁：距13号线龙泽站1750米
3258,2690,9,42761-B,2室1卫,9/28层,朝阳区,北岗子,将府锦苑,地铁：距14号线东段将台站3550米
3259,3090,17,43269-C,3室1卫,15/25层,丰台区,方庄,芳城园一区,地铁：距14号线东段方庄站550米
3260,2940,27,43893-C,5室1卫,9/15层,大兴区,高米店北,旭辉御府,地铁：距4号线大兴线高米店北站1500米
3261,4980,57,44439-A,1室1卫,22/23层,通州区,通州北苑,逸秀名园,地铁：距八通线通州北苑站800米
3262,2300,8,44317-B,4室1卫,9/24层,朝阳区,管庄,京通苑阳光华苑,地铁：距八通线管庄站500米
3263,2350,11,4400-A,3室1卫,4/6层,朝阳区,星火,姚家园西里2号院,"地铁：距3号线,20号线星火站400米"
3264,1690,10,48668-D,4室1卫,5/6层,大兴区,大兴新城,新安里,地铁：距4号线大兴线清源路站1850米
3265,2080,18,49578-B,3室1卫,3/6层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米
3266,1690,11,49578-C,3室1卫,3/6层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米
3267,3050,11,49268-C,3室1卫,4/7层,海淀区,慈寿寺,双紫小区,"地铁：距6号线,10号线慈寿寺站800米"
3268,2730,28,52286-D,4室1卫,4/6层,顺义区,国展,莲竹花园,地铁：距15号线国展站350米
3269,2830,16,52884-A,3室1卫,2/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
3270,2360,12,52742-A,5室1卫,18/18层,通州区,果园,世纪星城,地铁：距八通线果园站950米
